Recall (M sh),Buyback ($M),Net Flow (M sh),Total % Move,Projected Price ($)
0.0,0.0,-0.0,-0.0,22.29
0.0,250.0,-11.215791834903543,-9.8138178555406,20.1025
0.0,500.0,-22.431583669807086,-19.6276357110812,17.915
11.15,0.0,-11.15,-9.75625,20.115331875
11.15,250.0,-22.365791834903547,-19.570067855540604,17.927831875
11.15,500.0,-33.58158366980709,-29.383885711081202,15.740331874999999
22.3,0.0,-22.3,-19.5125,17.94066375
22.3,250.0,-33.515791834903546,-29.3263178555406,15.753163749999999
22.3,500.0,-44.731583669807094,-39.14013571108121,13.565663749999997
